"Group_Type","Delegation","Honorific","Person_Name","Job_Title","Division","Affiliation","Virtual","Year","Meeting","Location","Female","IGO","NGO","Observer","Party","IO","Delegation_COW","Delegation_ISO"
"Parties","Afghanistan","Mr","Abdul G. Jawshan",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,700,"AFG"
"Parties","Albania","M","Genc Mlloja","Business manager",NA,"Permanent Mission of Albania to the United Nations New York",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,339,"ALB"
"Parties","Algeria","M","Ahmed Djoghlaf","Director, Deputy Director, Head of Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,615,"DZA"
"Parties","Algeria","M","Rachid Belbaki","First Secretary, Responsible for Economic and Commercial Affairs",NA,"Algerian Embassy Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,615,"DZA"
"Parties","Algeria","M","Rajeb Boucharouf","Secretary of Foreign Affairs",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,615,"DZA"
"Parties","Antigua and Barbuda","Mr","E.h. Lake","Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,58,"ATG"
"Parties","Antigua and Barbuda","Ms","Debbie Prosper",NA,NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,58,"ATG"
"Parties","Antigua and Barbuda","Mr","Lionel Hurst",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,58,"ATG"
"Parties","Argentina","Sr","Ratil Estrada-Oyuela","Director, Head of Delegation","International organizations","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,160,"ARG"
"Parties","Argentina","Sr","Ernesto Martinez Gondra","Adviser",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,160,"ARG"
"Parties","Argentina","Sra","Liliana Roche","Secretario",NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,160,"ARG"
"Parties","Australia","Ms","Penelope Wensley","principal Advisor, Head of the Delegation","International Organizations and Legal Division","Ministry of Foreign affairs and Trade",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","William E. Kininmonth",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Ian Carruthers",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Robert Joseph Davis",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Noel Donald Campbell",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","William Mcfayden Campbell",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Mark Gordon Hyman",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Peter Howarth",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Palitha T. Kohona",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Mr","Marcel Dimo",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,900,"AUS"
"Parties","Australia","Ms","Meredith Hellicar",NA,NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,900,"AUS"
"Parties","Austria","Mr","Christian Zeileissen","Director, Head of the Delegation",NA,"Federal Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,305,"AUT"
"Parties","Austria","Ms","Renate Christ",NA,"Federal Ministry of the Environment","Youth and Family Affairs",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,305,"AUT"
"Parties","Austria","Mr","Willi Kempel",NA,NA,"Permanent Mission of Austria to the United Nations Geneva",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,305,"AUT"
"Parties","Austria","Mr","Meinrad Handstanger",NA,NA,"Federal Chancellery",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,305,"AUT"
"Parties","Austria","Mr","Gerhard Reiweger","Counsellor",NA,"Austrian Embassy Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,305,"AUT"
"Parties","Austria","Mr","William Hare",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,305,"AUT"
